premise,hypothesis,label
"According to the recent 
IEA-ETP scenarios, the share of avoid (reduction of mobility demand) 
and shift (shifting to more efficient modes) measures in the reduction of 
CO2 emissions from the reference to B2DS scenarios in 2050 amounts 
to 20% (IEA, 2017a).",The share of avoid and shift measures in the reduction of CO2 emissions from the reference to B2DS scenarios in 2050 is 20% according to the recent IEA-ETP scenarios.,entailment
"According to the recent 
IEA-ETP scenarios, the share of avoid (reduction of mobility demand) 
and shift (shifting to more efficient modes) measures in the reduction of 
CO2 emissions from the reference to B2DS scenarios in 2050 amounts 
to 20% (IEA, 2017a).",The share of avoid and shift measures in the reduction of CO2 emissions from the reference to B2DS scenarios in 2050 is not 20% according to the recent IEA-ETP scenarios.,contradiction
"According to the recent 
IEA-ETP scenarios, the share of avoid (reduction of mobility demand) 
and shift (shifting to more efficient modes) measures in the reduction of 
CO2 emissions from the reference to B2DS scenarios in 2050 amounts 
to 20% (IEA, 2017a).","This is because stronger efforts are required 
in the period after the delay to counterbalance the higher emissions 
in the near term.",neutral
"136
 2.4.4 Land-Use Transitions and Changes in 
   the Agricultural Sector ................................................",Land-Use Transitions and Changes in the Agricultural Sector.,entailment
"136
 2.4.4 Land-Use Transitions and Changes in 
   the Agricultural Sector ................................................",It is false that Land-Use Transitions and Changes in the Agricultural Sector.,contradiction
"136
 2.4.4 Land-Use Transitions and Changes in 
   the Agricultural Sector ................................................","For instance, undiscounted values under a Higher-2°C pathway range 
from 15–220 USD2010 tCO2-eq−1 in 2030, 45–1050 USD2010 tCO2-eq−1 
in 2050, 120–1100 USD2010 tCO2-eq−1 in 2070 and 175–2340 USD2010 
tCO2-eq−1 in 2100.",neutral
"Roberts, 2014: Nuclear energy response 
in the EMF27 study.",There was a nuclear energy response in the study.,entailment
"Roberts, 2014: Nuclear energy response 
in the EMF27 study.",It is false that There was a nuclear energy response in the study.,contradiction
"Roberts, 2014: Nuclear energy response 
in the EMF27 study.","{2.5.1, 2.5.2, 4.4.5}
Limiting warming to 1.5°C requires a marked shift in investment 
patterns (medium confidence).",neutral
"Edmonds, 2007: Overshoot Pathways to CO2 
stabilization in a multi-gas context.","In a multi-gas context, the pathways to CO2 stabilization were overshot.",entailment
"Edmonds, 2007: Overshoot Pathways to CO2 
stabilization in a multi-gas context.","In a multi-gas context, the pathways to CO3 stabilization were overshot.",contradiction
"Edmonds, 2007: Overshoot Pathways to CO2 
stabilization in a multi-gas context.","Proceedings of the National Academy of 
Sciences, 114(26), 6722–6727, doi:10.1073/pnas.1610381114.
Clarke, L.",neutral
"Nature, 459(7248), 829–832, 
doi:10.1038/nature08047.
Matthews, H.D.","Matthews, H.D.",entailment
"Nature, 459(7248), 829–832, 
doi:10.1038/nature08047.
Matthews, H.D.","It is false that Matthews, H.D.",contradiction
"Nature, 459(7248), 829–832, 
doi:10.1038/nature08047.
Matthews, H.D.","Climate Change 
Economics, 5(1), 1440005, doi:10.1142/s2010007814400053.
Bowerman, N.H.A., D.J.",neutral
"The trajectory of IEA-66%2DS (also referred to in other publications as 
IEA’s ‘Faster Transition Scenario’) lies between IAM-1.5DS-OS and IAM-
2DS pathway ranges, and IEA-2DS stays in the range of 2°C-consistent 
IAM pathways.",The trajectory of IEA-66%2DS is between the ranges of the 2DS and 1.5DS pathways.,entailment
"The trajectory of IEA-66%2DS (also referred to in other publications as 
IEA’s ‘Faster Transition Scenario’) lies between IAM-1.5DS-OS and IAM-
2DS pathway ranges, and IEA-2DS stays in the range of 2°C-consistent 
IAM pathways.",The trajectory of IEA-66%2DS is not between the ranges of the 2DS and 1.5DS pathways.,contradiction
"The trajectory of IEA-66%2DS (also referred to in other publications as 
IEA’s ‘Faster Transition Scenario’) lies between IAM-1.5DS-OS and IAM-
2DS pathway ranges, and IEA-2DS stays in the range of 2°C-consistent 
IAM pathways.","{2.4.1, 2.4.2, 2.4.3}
Transitions in global and regional land use are found in all 
pathways limiting global warming to 1.5°C with no or limited 
overshoot, but their scale depends on the pursued mitigation 
portfolio ( high confidence).",neutral
"Williamson, 2018: Emergent constraint on 
equilibrium climate sensitivity from global temperature variability.",There is a constraint on equilibrium climate sensitivity from global temperature variability.,entailment
"Williamson, 2018: Emergent constraint on 
equilibrium climate sensitivity from global temperature variability.",There is not a constraint on equilibrium climate sensitivity from global temperature variability.,contradiction
"Williamson, 2018: Emergent constraint on 
equilibrium climate sensitivity from global temperature variability.","It is noted that the share of electrification 
becomes larger compared with older studies, reflected by the recent 
growth of electric vehicle sales worldwide.",neutral
"However, many uncertainties affect the role of 
non-CO2 climate forcers in stringent mitigation pathways.
A first uncertainty arises from the magnitude of the radiative forcing 
attributed to non-CO2 climate forcers.",There are many uncertainties that affect the role of non-CO2 climate forcers.,entailment
"However, many uncertainties affect the role of 
non-CO2 climate forcers in stringent mitigation pathways.
A first uncertainty arises from the magnitude of the radiative forcing 
attributed to non-CO2 climate forcers.",There are not many uncertainties that affect the role of non-CO2 climate forcers.,contradiction
"However, many uncertainties affect the role of 
non-CO2 climate forcers in stringent mitigation pathways.
A first uncertainty arises from the magnitude of the radiative forcing 
attributed to non-CO2 climate forcers.","Climatic 
Change, 136(1), 127–140, doi:10.1007/s10584-013-0899-9.
Luderer, G.",neutral
"Negative and positive impacts are monetized, 
discounted and the net value is expressed as an equivalent loss of consumption today.","Negative and positive impacts are monetized, discounted and the net value is expressed as a loss of consumption.",entailment
"Negative and positive impacts are monetized, 
discounted and the net value is expressed as an equivalent loss of consumption today.","Negative and positive impacts are monetized, discounted and the net value is not expressed as a loss of consumption.",contradiction
"Negative and positive impacts are monetized, 
discounted and the net value is expressed as an equivalent loss of consumption today.","Uncertainties in the non-CO2 forcing and 
temperature response are asymmetric and can influence the remaining 
carbon budget by −400 to +200 GtCO2, with the uncertainty in aerosol 
radiative forcing being the largest contributing factor (Table 2.2).",neutral
"Caldeira, 2010: Consumption-based accounting of CO2 emissions.",Consumption-based accounting of CO2 emissions was published in Caldeira.,entailment
"Caldeira, 2010: Consumption-based accounting of CO2 emissions.",Consumption-based accounting of CO5 emissions was published in Caldeira.,contradiction
"Caldeira, 2010: Consumption-based accounting of CO2 emissions.","Vaughan, 2018: Assessing 
carbon dioxide removal through global and regional ocean alkalinization under 
high and low emission pathways.",neutral
"150
 2.5.2 Economic and Investment Implications of 1.5°C 
   Pathways ....................................................................",There are economic and investment implications of 1.5C pathways.,entailment
"150
 2.5.2 Economic and Investment Implications of 1.5°C 
   Pathways ....................................................................",There are not economic and investment implications of 1.5C pathways.,contradiction
"150
 2.5.2 Economic and Investment Implications of 1.5°C 
   Pathways ....................................................................","Biomass and Bioenergy, 57, 86–96, 
doi:10.1016/j.biombioe.2013.02.003.
Kreidenweis, U.",neutral
"The potential future warming from mitigation of these 
emissions reduces remaining carbon budgets and increases peak 
temperatures (Section 2.2).",Carbon budgets are reduced and peak temperatures are increased by the potential future warming of emissions.,entailment
"The potential future warming from mitigation of these 
emissions reduces remaining carbon budgets and increases peak 
temperatures (Section 2.2).",Carbon budgets are not reduced and peak temperatures are increased by the potential future warming of emissions.,contradiction
"The potential future warming from mitigation of these 
emissions reduces remaining carbon budgets and increases peak 
temperatures (Section 2.2).","Given the importance of CCS in 
most mitigation pathways and its current slow pace of improvement, 
the large-scale deployment of CCS as an option depends on the further 
development of the technology in the near term.",neutral
"The chosen social discount rate in CEA studies (range 
of 2–8% per year in the reported data, varying over time and sectors) 
can also affect the choice and timing of investments in mitigation 
measures (Clarke et al., 2014; Kriegler et al., 2015b; Weyant, 2017).",The choice and timing of investments in mitigation measures can be affected by the chosen social discount rate in CEA studies.,entailment
"The chosen social discount rate in CEA studies (range 
of 2–8% per year in the reported data, varying over time and sectors) 
can also affect the choice and timing of investments in mitigation 
measures (Clarke et al., 2014; Kriegler et al., 2015b; Weyant, 2017).",It is false that The choice and timing of investments in mitigation measures can be affected by the chosen social discount rate in CEA studies.,contradiction
"The chosen social discount rate in CEA studies (range 
of 2–8% per year in the reported data, varying over time and sectors) 
can also affect the choice and timing of investments in mitigation 
measures (Clarke et al., 2014; Kriegler et al., 2015b; Weyant, 2017).","et al., 2013: Energy Investments under Climate Policy: A 
Comparison of Global Models.",neutral
"Global Environmental Change, 
29, 22–31, doi:10.1016/j.gloenvcha.2014.07.010.
Liu, J.-Y .",The Global Environmental Change was published in 2015.,entailment
"Global Environmental Change, 
29, 22–31, doi:10.1016/j.gloenvcha.2014.07.010.
Liu, J.-Y .",The Global Environmental Change was published in 2017.,contradiction
"Global Environmental Change, 
29, 22–31, doi:10.1016/j.gloenvcha.2014.07.010.
Liu, J.-Y .","With only one 
dedicated multimodel comparison study published, there is limited to 
medium evidence available.",neutral
"Transportation Research Part D: Transport and Environment, 55, 322–342, 
doi:10.1016/j.trd.2016.04.003.McCollum, D.L.","Part D: Transport and Environment, 55, 322–342, was published in the journal Transport and Environment.",entailment
"Transportation Research Part D: Transport and Environment, 55, 322–342, 
doi:10.1016/j.trd.2016.04.003.McCollum, D.L.","Part D: Transport and Environment, 58, 322–342, was published in the journal Transport and Environment.",contradiction
"Transportation Research Part D: Transport and Environment, 55, 322–342, 
doi:10.1016/j.trd.2016.04.003.McCollum, D.L.","100
2.2 Geophysical Relationships and Constraints  .........",neutral
"et al., 2013: Management swing potential for bioenergy crops.",Management swing potential for bioenergy crops.,entailment
"et al., 2013: Management swing potential for bioenergy crops.",It is false that Management swing potential for bioenergy crops.,contradiction
"et al., 2013: Management swing potential for bioenergy crops.","Climatic Change, 109(1–2), 213–241, 
doi:10.1007/s10584-011-0156-z.
Méjean, A., C.",neutral
"However, 
in pathways that aim at limiting overshoot as much as possible or 
more slowly decline temperatures after their peak, emissions reach 
the point of net zero GHG emissions slightly later or at times never.","In pathways that aim at limiting overshoot as much as possible or more slowly decline temperatures after their peak, emissions reach the point of net zero GHG emissions slightly later or at times never.",entailment
"However, 
in pathways that aim at limiting overshoot as much as possible or 
more slowly decline temperatures after their peak, emissions reach 
the point of net zero GHG emissions slightly later or at times never.","It is false that In pathways that aim at limiting overshoot as much as possible or more slowly decline temperatures after their peak, emissions reach the point of net zero GHG emissions slightly later or at times never.",contradiction
"However, 
in pathways that aim at limiting overshoot as much as possible or 
more slowly decline temperatures after their peak, emissions reach 
the point of net zero GHG emissions slightly later or at times never.","Robust physical understanding underpins 
this relationship, but uncertainties become increasingly relevant as a 
specific temperature limit is approached.",neutral
"Such ideas for CO2 removal have not been proven to work at scale and, 
therefore, run the risk of being less practical, effective or economical than assumed.","Such ideas for CO2 removal have not been proven to work at scale and, therefore, run the risk of being less practical, effective or economical than assumed.",entailment
"Such ideas for CO2 removal have not been proven to work at scale and, 
therefore, run the risk of being less practical, effective or economical than assumed.","Such ideas for CO7 removal have not been proven to work at scale and, therefore, run the risk of being less practical, effective or economical than assumed.",contradiction
"Such ideas for CO2 removal have not been proven to work at scale and, 
therefore, run the risk of being less practical, effective or economical than assumed.","Bustamante, 2014: Agriculture, Forestry and Other Land Use 
(AFOLU).",neutral
"Nature Climate Change, 4(10), 
850–853, doi:10.1038/nclimate2392.
Fuss, S.","Nature Climate Change, 4(10), 850–853, was published in the journal Nature Climate Change.",entailment
"Nature Climate Change, 4(10), 
850–853, doi:10.1038/nclimate2392.
Fuss, S.","Nature Climate Change, 7(10), 850–853, was published in the journal Nature Climate Change.",contradiction
"Nature Climate Change, 4(10), 
850–853, doi:10.1038/nclimate2392.
Fuss, S.","Section 2.4.4 provides a further assessment of 
the agricultural non-CO2 emissions reduction potential.",neutral
"This 
thawing could also release N2O (Voigt et al., 2017a, b).",N2O could also be released by this thaw.,entailment
"This 
thawing could also release N2O (Voigt et al., 2017a, b).",N6O could also be released by this thaw.,contradiction
"This 
thawing could also release N2O (Voigt et al., 2017a, b).","et al., 2017: Global and regional abatement costs of Nationally 
Determined Contributions (NDCs) and of enhanced action to levels well below 
2°C and 1.5°C.",neutral
"Nature Climate Change, 5(3), 235–239, 
doi:10.1038/nclimate2514.
Bertram, C.","Nature Climate Change, 5(3), pp.",entailment
"Nature Climate Change, 5(3), 235–239, 
doi:10.1038/nclimate2514.
Bertram, C.","Nature Climate Change, 8(3), pp.",contradiction
"Nature Climate Change, 5(3), 235–239, 
doi:10.1038/nclimate2514.
Bertram, C.","Nature, 520(7546), 171–179, doi:10.1038/nature14338.
Scott, C.E.",neutral
"Environmental 
Research Letters, 13(3), 034010, doi:10.1088/1748-9326/aaa9c4.
Strefler, J.",The Environmental Research Letters was published in the 13th edition.,entailment
"Environmental 
Research Letters, 13(3), 034010, doi:10.1088/1748-9326/aaa9c4.
Strefler, J.",The Environmental Research Letters was published in the 14th edition.,contradiction
"Environmental 
Research Letters, 13(3), 034010, doi:10.1088/1748-9326/aaa9c4.
Strefler, J.","101
 2.2.1 Geophysical Characteristics of Mitigation Pathways ..",neutral
"et al., 2018: How to spend a dwindling greenhouse gas budget.",How to spend a diminishing greenhouse gas budget.,entailment
"et al., 2018: How to spend a dwindling greenhouse gas budget.",It is false that How to spend a diminishing greenhouse gas budget.,contradiction
"et al., 2018: How to spend a dwindling greenhouse gas budget.","Curry, 2018: The impact of recent forcing and ocean heat uptake 
data on estimates of climate sensitivity.",neutral
"Emissions would need to decline rapidly across all of society’s main sectors, 
including buildings, industry, transport, energy, and agriculture, forestry and other land use (AFOLU).","Emissions need to decline rapidly across all of society's main sectors, including buildings, industry, transport, energy, and agriculture.",entailment
"Emissions would need to decline rapidly across all of society’s main sectors, 
including buildings, industry, transport, energy, and agriculture, forestry and other land use (AFOLU).","It is false that Emissions need to decline rapidly across all of society's main sectors, including buildings, industry, transport, energy, and agriculture.",contradiction
"Emissions would need to decline rapidly across all of society’s main sectors, 
including buildings, industry, transport, energy, and agriculture, forestry and other land use (AFOLU).","Science, 
350(6265), 1168–1169, doi:10.1126/science.aad5761.
Forster, P .M., 2016: Inference of Climate Sensitivity from Analysis of Earth’s 
Energy Budget.",neutral
"Investments in the policy baselines 
from these same models are 1.6–2.7 trillion USD2010 yr−1.",Investments in the policy baselines are over 2 trillion dollars.,entailment
"Investments in the policy baselines 
from these same models are 1.6–2.7 trillion USD2010 yr−1.",Investments in the policy baselines are not over 2 trillion dollars.,contradiction
"Investments in the policy baselines 
from these same models are 1.6–2.7 trillion USD2010 yr−1.","Nature Climate Change, 3(12), 1021–1024, 
 doi:10.1038/nclimate2034.
Boysen, L.R., W.",neutral
"Energy-demand reductions are key 
and common features in 1.5˚C pathways, and they can be achieved 
by efficiency improvements and various specific demand-reduction 
measures.",The key features of 1.5 C pathways are energy-demand reductions and they can be achieved by efficiency improvements.,entailment
"Energy-demand reductions are key 
and common features in 1.5˚C pathways, and they can be achieved 
by efficiency improvements and various specific demand-reduction 
measures.",The key features of 1.5 C pathways are not energy-demand reductions and they can be achieved by efficiency improvements.,contradiction
"Energy-demand reductions are key 
and common features in 1.5˚C pathways, and they can be achieved 
by efficiency improvements and various specific demand-reduction 
measures.","(c) Average annual mitigation investments 
and disinvestments for the 2016–2030 periods relative to the baseline.",neutral
"However, there has been a marked slowdown of planned 
coal-power projects in recent years, and some estimates indicate that 
the committed emissions from coal plants that are under construction 
or planned have halved since 2015 (Shearer et al., 2018).","The emissions from coal plants that are under construction or planned have halved since 2015, and there has been a marked slowdown of planned coal-power projects in recent years.",entailment
"However, there has been a marked slowdown of planned 
coal-power projects in recent years, and some estimates indicate that 
the committed emissions from coal plants that are under construction 
or planned have halved since 2015 (Shearer et al., 2018).","The emissions from coal plants that are not under construction or planned have halved since 2015, and there has been a marked slowdown of planned coal-power projects in recent years.",contradiction
"However, there has been a marked slowdown of planned 
coal-power projects in recent years, and some estimates indicate that 
the committed emissions from coal plants that are under construction 
or planned have halved since 2015 (Shearer et al., 2018).","Because the overall emissions total under a pathway is limited by a 
geophysical carbon budget (Section 2.2.2), choices in one sector affect 
the efforts that are required from others (Clarke et al., 2014).",neutral
"There are other configurations with less reliance on bioenergy 
that are not yet comprehensively covered by global mitigation pathway 
modelling.",There are other configurations that have less reliance on bioenergy.,entailment
"There are other configurations with less reliance on bioenergy 
that are not yet comprehensively covered by global mitigation pathway 
modelling.",There are not other configurations that have less reliance on bioenergy.,contradiction
"There are other configurations with less reliance on bioenergy 
that are not yet comprehensively covered by global mitigation pathway 
modelling.","On the one hand, its emissions 
need to be limited over the course of this century to be in line with 
pathways limiting warming to 1.5°C (see Sections 2.2-3).",neutral
"Wiley 
Interdisciplinary Reviews: Energy and Environment, 6(6), 1–23, doi:10.1002/wene.256.
Voigt, C.",C. Voigt is the author of the Interdisciplinary Reviews: Energy and Environment.,entailment
"Wiley 
Interdisciplinary Reviews: Energy and Environment, 6(6), 1–23, doi:10.1002/wene.256.
Voigt, C.",C. Voigt is not the author of the Interdisciplinary Reviews: Energy and Environment.,contradiction
"Wiley 
Interdisciplinary Reviews: Energy and Environment, 6(6), 1–23, doi:10.1002/wene.256.
Voigt, C.","Assumptions in modelling 
studies imply low-to-zero transaction costs for market agents and 
that regulatory oversight mechanisms and fiduciary duty need to be 
highly robust to guarantee stable and credible financial markets in 
the long term.",neutral
"Pathways with no or limited overshoot included the 
Below-1.5°C and 1.5°C-low-OS classes.",The Below- 1.5C and 1.5C-low-OS classes were included.,entailment
"Pathways with no or limited overshoot included the 
Below-1.5°C and 1.5°C-low-OS classes.",The Below- 5.5C and 1.5C-low-OS classes were included.,contradiction
"Pathways with no or limited overshoot included the 
Below-1.5°C and 1.5°C-low-OS classes.","{2.2.2, 2.6.1}
Staying within a remaining carbon budget of 580 GtCO2 implies 
that CO2 emissions reach carbon neutrality in about 30 years, 
reduced to 20 years for a 420 GtCO2 remaining carbon budget  
(high confidence).",neutral
"The reduction in SO2 emissions is the dominant single effect as 
it weakens the negative total aerosol forcing.",The reduction in SO2 emissions is the main effect.,entailment
"The reduction in SO2 emissions is the dominant single effect as 
it weakens the negative total aerosol forcing.",The reduction in SO2 emissions is not the main effect.,contradiction
"The reduction in SO2 emissions is the dominant single effect as 
it weakens the negative total aerosol forcing.","In CEA, value judgments are to a large extent concentrated in the choice of climate goal and related implications, while more 
explicit assumptions about social values are required to perform CBA.",neutral
"The AR5 data was derived from 15 Earth 
system models and 5 Earth system models of Intermediate Complexity for the historic observations (black) and RCP8.5 scenario (red), and the red shaded plume shows the 
range across the models as presented in the AR5.","The data was derived from 15 Earth system models and 5 Earth system models of Intermediate Complexity for the historic observations, and the red shaded plume shows the range across the models as presented in the AR5.",entailment
"The AR5 data was derived from 15 Earth 
system models and 5 Earth system models of Intermediate Complexity for the historic observations (black) and RCP8.5 scenario (red), and the red shaded plume shows the 
range across the models as presented in the AR5.","The data was derived from 18 Earth system models and 5 Earth system models of Intermediate Complexity for the historic observations, and the red shaded plume shows the range across the models as presented in the AR5.",contradiction
"The AR5 data was derived from 15 Earth 
system models and 5 Earth system models of Intermediate Complexity for the historic observations (black) and RCP8.5 scenario (red), and the red shaded plume shows the 
range across the models as presented in the AR5.","Section 2.3 assesses the overall characteristics of 1.5°C pathways 
based on fully integrated pathways, while Sections 2.4 and 2.5 describe 
underlying sectoral transformations, including insights from sector-
specific assessment models and pathways that are not derived from 
IAMs.",neutral
"Kartha, 2018: Land-based negative emissions: risks for 
climate mitigation and impacts on sustainable development.",Land-based negative emissions have risks for climate mitigation and impacts on sustainable development.,entailment
"Kartha, 2018: Land-based negative emissions: risks for 
climate mitigation and impacts on sustainable development.",It is false that Land-based negative emissions have risks for climate mitigation and impacts on sustainable development.,contradiction
"Kartha, 2018: Land-based negative emissions: risks for 
climate mitigation and impacts on sustainable development.","Environmental Health Perspectives, 120(6), 831–839, 
 doi:10.1289/ehp.1104301.
Anthoff, D.",neutral
"How does this vary 
across available 1.5°C-consistent pathways and on which factors does 
it depend?",Which factors do it depend on?,entailment
"How does this vary 
across available 1.5°C-consistent pathways and on which factors does 
it depend?",It is false that Which factors do it depend on?,contradiction
"How does this vary 
across available 1.5°C-consistent pathways and on which factors does 
it depend?","Global Environmental Change, 42, 297–
315, doi:10.1016/j.gloenvcha.2016.05.015.
Kriegler, E.",neutral
"Nature Climate Change, 3(4), 405–412, 
doi:10.1038/nclimate1758.
Rogelj, J., M.","Nature Climate Change, 3(4), 405–423, is a book.",entailment
"Nature Climate Change, 3(4), 405–412, 
doi:10.1038/nclimate1758.
Rogelj, J., M.","Nature Climate Change, 3(4), 405–423, is not a book.",contradiction
"Nature Climate Change, 3(4), 405–412, 
doi:10.1038/nclimate1758.
Rogelj, J., M.","et al., 2018: The fiscal benefits of stringent climate change mitigation: an 
overview.",neutral
"Atmospheric 
Science Letters, 19(6), e821, doi:10.1002/asl.821.
Jones, C.D.","Jones, C.D.",entailment
"Atmospheric 
Science Letters, 19(6), e821, doi:10.1002/asl.821.
Jones, C.D.","It is false that Jones, C.D.",contradiction
"Atmospheric 
Science Letters, 19(6), e821, doi:10.1002/asl.821.
Jones, C.D.","There is a diversity of potential pathways consistent with 1.5°C, 
yet they share some key characteristics summarized in Table 2.5.",neutral
"Environmental 
Research Letters, 11(11), 114006, doi:10.1088/1748-9326/11/11/114006.
Wang, X.",The Environmental Research Letters was published in 2011.,entailment
"Environmental 
Research Letters, 11(11), 114006, doi:10.1088/1748-9326/11/11/114006.
Wang, X.",The Environmental Research Letters was published in 2016.,contradiction
"Environmental 
Research Letters, 11(11), 114006, doi:10.1088/1748-9326/11/11/114006.
Wang, X.","Moreover, associated CDR measures have low technological 
requirements, and come with potential environmental and social 
co-benefits (Griscom et al., 2017).",neutral
"Halland, 2014: CO2 storage atlas of the Norwegian Continental shelf: 
Methods used to evaluate capacity and maturity of the CO2 storage potential.",CO2 storage atlas of the Norwegian Continental shelf: methods used to evaluate capacity and maturity of the CO2 storage potential,entailment
"Halland, 2014: CO2 storage atlas of the Norwegian Continental shelf: 
Methods used to evaluate capacity and maturity of the CO2 storage potential.",CO7 storage atlas of the Norwegian Continental shelf: methods used to evaluate capacity and maturity of the CO2 storage potential,contradiction
"Halland, 2014: CO2 storage atlas of the Norwegian Continental shelf: 
Methods used to evaluate capacity and maturity of the CO2 storage potential.","This follows from the assumption in the modelled 
pathways that, unlike bioenergy crops, forests are not harvested to allow unabated carbon storage on the same patch of land.",neutral
"et al., 2015: Bioenergy and climate change mitigation: an assessment.",An assessment of bioenergy and climate change.,entailment
"et al., 2015: Bioenergy and climate change mitigation: an assessment.",It is false that An assessment of bioenergy and climate change.,contradiction
"et al., 2015: Bioenergy and climate change mitigation: an assessment.","Diaz, 2015: Temperature impacts on economic growth 
warrant stringent mitigation policy.",neutral
"Therefore, while net 
CO2 emissions are projected to be markedly lower in 1.5°C-consistent 
compared to 2°C-consistent pathways, this is much less the case for 
methane (CH4) and nitrous-oxide (N2O) (Figures 2.6–2.7).","In 1.5C-consistent pathways, net CO2 emissions are projected to be much lower than in 2C-consistent pathways.",entailment
"Therefore, while net 
CO2 emissions are projected to be markedly lower in 1.5°C-consistent 
compared to 2°C-consistent pathways, this is much less the case for 
methane (CH4) and nitrous-oxide (N2O) (Figures 2.6–2.7).","In 1.5C-consistent pathways, net CO2 emissions are not projected to be much lower than in 2C-consistent pathways.",contradiction
"Therefore, while net 
CO2 emissions are projected to be markedly lower in 1.5°C-consistent 
compared to 2°C-consistent pathways, this is much less the case for 
methane (CH4) and nitrous-oxide (N2O) (Figures 2.6–2.7).","Carrillo-Hermosilla, 2006: Globalizing carbon lock-in.",neutral
"The comparison of CO2 
emission trajectories between ETP-B2DS and IAM-1.5DS-OS show that 
these are consistent up to 2060 (Figure 2.18).","Up to 2060, the CO2 emission trajectory is consistent between the two.",entailment
"The comparison of CO2 
emission trajectories between ETP-B2DS and IAM-1.5DS-OS show that 
these are consistent up to 2060 (Figure 2.18).","Up to 2060, the CO2 emission trajectory is not consistent between the two.",contradiction
"The comparison of CO2 
emission trajectories between ETP-B2DS and IAM-1.5DS-OS show that 
these are consistent up to 2060 (Figure 2.18).","As discussed 
in Section 2.3.4.1, those pathways are characterized by low energy 
and/or food demand effectively limiting fossil-fuel substitution and 
alleviating land competition, respectively.",neutral
"Geoscientific Model Development, 11(6), 2273–2297, 
doi:10.5194/gmd-11-2273-2018.
Smith, L.J.","Smith, L.J. is the author of the article ""geoscientific model development.""",entailment
"Geoscientific Model Development, 11(6), 2273–2297, 
doi:10.5194/gmd-11-2273-2018.
Smith, L.J.","Smith, L.J. is not the author of the article ""geoscientific model development.""",contradiction
"Geoscientific Model Development, 11(6), 2273–2297, 
doi:10.5194/gmd-11-2273-2018.
Smith, L.J.","However, there are interactions between mitigation and multiple other 
sustainable development goals (see Sections 1.1 and 5.4) that provide 
both challenges and opportunities for climate action.",neutral
"The AR5 used 15 Earth System Models (ESM) and 5 
Earth-system Models of Intermediate Complexity (EMIC) to derive an 
estimate of the remaining carbon budget.",The remaining carbon budget was estimated using 15 Earth System Models and 5 Earth-system Models of Intermediate Complexity.,entailment
"The AR5 used 15 Earth System Models (ESM) and 5 
Earth-system Models of Intermediate Complexity (EMIC) to derive an 
estimate of the remaining carbon budget.",The remaining carbon budget was estimated using 18 Earth System Models and 5 Earth-system Models of Intermediate Complexity.,contradiction
"The AR5 used 15 Earth System Models (ESM) and 5 
Earth-system Models of Intermediate Complexity (EMIC) to derive an 
estimate of the remaining carbon budget.","If additional non-CO2 mitigation measures are identified and 
adequately included in IAMs, they are expected to further contribute to 
mitigation efforts by lowering the floor of residual non-CO2 emissions.",neutral
‘Compensatory CO2’ depicts the cumulative amount of CDR that is used to neutralize concurrent residual CO2 emissions.,The cumulative amount of CDR is used to offset concurrent residual CO2 emissions.,entailment
‘Compensatory CO2’ depicts the cumulative amount of CDR that is used to neutralize concurrent residual CO2 emissions.,The cumulative amount of CDR is not used to offset concurrent residual CO2 emissions.,contradiction
‘Compensatory CO2’ depicts the cumulative amount of CDR that is used to neutralize concurrent residual CO2 emissions.,"These differences can be explained by more weight on efficiency 
improvements and avoid/shift decreasing energy consumption, and 
the higher share of biofuels and electricity accelerating the speed of 
decarbonization in ETP scenarios.",neutral
"(2018) to 
be around 830 billion USD2010 (range of 150 billion to 1700 billion 
USD2010 across six models).",There is a range of 150 billion to 1700 billionUSD2010 across six models.,entailment
"(2018) to 
be around 830 billion USD2010 (range of 150 billion to 1700 billion 
USD2010 across six models).",There is not a range of 150 billion to 1700 billionUSD2010 across six models.,contradiction
"(2018) to 
be around 830 billion USD2010 (range of 150 billion to 1700 billion 
USD2010 across six models).","Reilly, 2003: An Issue of Permanence: Assessing the 
Effectiveness of Temporary Carbon Storage.",neutral
"This contrasts with median 
estimates for current unconditional NDCs of 52–58 GtCO2e yr−1 in 
2030.",The median estimates for current NDCs of 52–58 GtCO2e yr1 are different.,entailment
"This contrasts with median 
estimates for current unconditional NDCs of 52–58 GtCO2e yr−1 in 
2030.",The median estimates for current NDCs of 52–58 GtCO2e yr1 are not different.,contradiction
"This contrasts with median 
estimates for current unconditional NDCs of 52–58 GtCO2e yr−1 in 
2030.","As seen in 
Figure 2.23, the projections of energy consumption, CO2 emissions and 
carbon intensity are quite different between IAM and ETP scenarios.",neutral
"Vilariño, 2018: Mitigation Pathways Compatible with 1.5°C in the Context of Sustainable 
Development.",Mitigation pathways are compatible with 1.5C in the context of sustainable development.,entailment
"Vilariño, 2018: Mitigation Pathways Compatible with 1.5°C in the Context of Sustainable 
Development.",Mitigation pathways are not compatible with 1.5C in the context of sustainable development.,contradiction
"Vilariño, 2018: Mitigation Pathways Compatible with 1.5°C in the Context of Sustainable 
Development.","et al., 2014: Investigating afforestation and bioenergy CCS as 
climate change mitigation strategies.",neutral
"One type of pathway sees global temperature stabilize at, or just below, 1.5°C.",Global temperature can be seen stabilizing at or just below 1.5C.,entailment
"One type of pathway sees global temperature stabilize at, or just below, 1.5°C.",Global temperature can be seen stabilizing at or just below 3.5C.,contradiction
